Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,G_mean_rat,Dir_enc,A1_enc,A2_enc,A3_enc
1986,130,Drama,5.8,43,Mukul Anand,Dharmendra,Mithun Chakraborty,Meenakshi Sheshadri,5.985004212299915,6.3374999999999995,5.838245614035088,5.504,5.560714285714285
1962,147,Drama,7.4,48,A. Bhimsingh,Sunil Dutt,Meena Kumari,Raj Mehra,5.985004212299915,6.797142857142857,6.1323943661971825,6.61311475409836,6.976923076923077
1962,147,Family,7.4,48,A. Bhimsingh,Sunil Dutt,Meena Kumari,Raj Mehra,6.1843800322061195,6.797142857142857,6.1323943661971825,6.61311475409836,6.976923076923077
1987,136,Action,4.3,6,Ambarish,Juhi Chawla,V. Ravichandran,Vishnuvardhan,5.435978600089166,4.3,5.561111111111111,5.575,5.4
2004,154,Action,8.8,92,K. Muralimohana Rao,Mohan Babu,Chiranjeevi,Pran,5.435978600089166,4.674074074074074,8.0625,7.166666666666667,6.517647058823529
2004,179,Action,7.0,33177,Farah Khan,Shah Rukh Khan,Sushmita Sen,Sunil Shetty,5.435978600089166,5.572727272727272,6.584848484848485,4.9639999999999995,5.50909090909091
2004,179,Comedy,7.0,33177,Farah Khan,Shah Rukh Khan,Sushmita Sen,Sunil Shetty,5.728073635765943,5.572727272727272,6.584848484848485,4.9639999999999995,5.50909090909091
2004,179,Drama,7.0,33177,Farah Khan,Shah Rukh Khan,Sushmita Sen,Sunil Shetty,5.985004212299915,5.572727272727272,6.584848484848485,4.9639999999999995,5.50909090909091
2015,127,Comedy,7.3,35,Faisal Saif,Smita Gondkar,Shakti Kapoor,Sameer Khan,5.728073635765943,5.5,7.3,4.464285714285714,7.3
1982,135,Action,5.1,44,Rama Rao Tatineni,Dharmendra,Reena Roy,Shreeram Lagoo,5.435978600089166,5.36081081081081,5.838245614035088,5.615555555555555,5.996
1982,135,Drama,5.1,44,Rama Rao Tatineni,Dharmendra,Reena Roy,Shreeram Lagoo,5.985004212299915,5.36081081081081,5.838245614035088,5.615555555555555,5.996
1994,175,Action,6.5,5725,Sameer Malkan,Akshay Kumar,Saif Ali Khan,Shilpa Shetty Kundra,5.435978600089166,5.49,5.440845070422536,5.8133333333333335,4.88695652173913
1994,175,Comedy,6.5,5725,Sameer Malkan,Akshay Kumar,Saif Ali Khan,Shilpa Shetty Kundra,5.728073635765943,5.49,5.440845070422536,5.8133333333333335,4.88695652173913
2013,134,Animation,5.3,185,Rajiv S. Ruia,Juhi Chawla,Paresh Ganatra,Namit Shah,5.978571428571429,4.085714285714285,5.561111111111111,5.3,5.3
2013,134,Family,5.3,185,Rajiv S. Ruia,Juhi Chawla,Paresh Ganatra,Namit Shah,6.1843800322061195,4.085714285714285,5.561111111111111,5.3,5.3
2013,134,Musical,5.3,185,Rajiv S. Ruia,Juhi Chawla,Paresh Ganatra,Namit Shah,6.183195020746888,4.085714285714285,5.561111111111111,5.3,5.3
2003,128,Drama,6.0,514,Chandan Arora,Antara Mali,Rajpal Yadav,Asif Basra,5.985004212299915,6.7875000000000005,6.0,6.05,4.8
2003,128,Comedy,6.0,514,Chandan Arora,Antara Mali,Rajpal Yadav,Asif Basra,5.728073635765943,6.7875000000000005,6.0,6.05,4.8
2021,120,Biography,4.2,118,Suvendu Ghosh,Amyth Sethi,Govind Namdeo,Mukesh Tiwari,6.763414634146342,4.2,4.2,4.2,4.15
1959,61,Drama,6.7,59,Naresh Saigal,Raj Kapoor,Mala Sinha,Mubarak,5.985004212299915,6.2,6.85,6.35934065934066,6.78125
1959,61,Family,6.7,59,Naresh Saigal,Raj Kapoor,Mala Sinha,Mubarak,6.1843800322061195,6.2,6.85,6.35934065934066,6.78125
1959,61,Comedy,6.7,59,Naresh Saigal,Raj Kapoor,Mala Sinha,Mubarak,5.728073635765943,6.2,6.85,6.35934065934066,6.78125
2003,197,Comedy,4.0,4401,Sooraj R. Barjatya,Hrithik Roshan,Kareena Kapoor,Abhishek Bachchan,5.728073635765943,6.0,6.205263157894737,5.655555555555556,4.33
2003,197,Drama,4.0,4401,Sooraj R. Barjatya,Hrithik Roshan,Kareena Kapoor,Abhishek Bachchan,5.985004212299915,6.0,6.205263157894737,5.655555555555556,4.33
2003,197,Musical,4.0,4401,Sooraj R. Barjatya,Hrithik Roshan,Kareena Kapoor,Abhishek Bachchan,6.183195020746888,6.0,6.205263157894737,5.655555555555556,4.33
2007,126,Comedy,5.8,10,Nandita Singgha,Priyanshu Chatterjee,Sandali Sinha,Sayali Bhagat,5.728073635765943,5.8,5.623529411764705,4.3,5.8
2007,126,Romance,5.8,10,Nandita Singgha,Priyanshu Chatterjee,Sandali Sinha,Sayali Bhagat,5.754529717253318,5.8,5.623529411764705,4.3,5.8
1998,150,Musical,4.5,40,Dev Anand,Dev Anand,Jas Arora,Shaista Usta,6.183195020746888,5.689473684210526,6.801069518716577,4.5,4.5
1998,150,Romance,4.5,40,Dev Anand,Dev Anand,Jas Arora,Shaista Usta,5.754529717253318,5.689473684210526,6.801069518716577,4.5,4.5
1964,134,Drama,5.2,5,Kundan Kumar,Mala Sinha,Ajit,Kewal Kumar,5.985004212299915,4.976923076923077,6.311320754716981,6.286363636363637,5.2
1964,134,Family,5.2,5,Kundan Kumar,Mala Sinha,Ajit,Kewal Kumar,6.1843800322061195,4.976923076923077,6.311320754716981,6.286363636363637,5.2
1971,147,Comedy,6.5,47,R. Krishnan,S. Panju,Mehmood,Biswajit Chatterjee,5.728073635765943,6.4944444444444445,6.4944444444444445,6.311111111111111,6.230769230769231
1971,147,Drama,6.5,47,R. Krishnan,S. Panju,Mehmood,Biswajit Chatterjee,5.985004212299915,6.4944444444444445,6.4944444444444445,6.311111111111111,6.230769230769231
1971,147,Romance,6.5,47,R. Krishnan,S. Panju,Mehmood,Biswajit Chatterjee,5.754529717253318,6.4944444444444445,6.4944444444444445,6.311111111111111,6.230769230769231
1989,93,Action,5.1,68,Vijay Reddy,Jackie Shroff,Jaya Prada,Sunny Deol,5.435978600089166,5.172000000000001,5.178151260504202,5.4281690140845065,5.452941176470588
1989,93,Adventure,5.1,68,Vijay Reddy,Jackie Shroff,Jaya Prada,Sunny Deol,5.859942363112392,5.172000000000001,5.178151260504202,5.4281690140845065,5.452941176470588
1989,93,Crime,5.1,68,Vijay Reddy,Jackie Shroff,Jaya Prada,Sunny Deol,5.726989935956085,5.172000000000001,5.178151260504202,5.4281690140845065,5.452941176470588
2014,128,Action,5.1,8139,David Dhawan,Varun Dhawan,Ileana D'Cruz,Nargis Fakhri,5.435978600089166,5.22803738317757,5.178260869565217,5.618181818181818,5.1
2014,128,Comedy,5.1,8139,David Dhawan,Varun Dhawan,Ileana D'Cruz,Nargis Fakhri,5.728073635765943,5.22803738317757,5.178260869565217,5.618181818181818,5.1
2014,128,Romance,5.1,8139,David Dhawan,Varun Dhawan,Ileana D'Cruz,Nargis Fakhri,5.754529717253318,5.22803738317757,5.178260869565217,5.618181818181818,5.1
1988,121,Drama,6.8,13,Vijay Anand,Suneil Anand,Meenakshi Sheshadri,Rajendra Kumar,5.985004212299915,7.153658536585366,6.35,5.690243902439025,6.019047619047619
1988,121,Romance,6.8,13,Vijay Anand,Suneil Anand,Meenakshi Sheshadri,Rajendra Kumar,5.754529717253318,7.153658536585366,6.35,5.690243902439025,6.019047619047619
1999,146,Comedy,4.7,7,K. Raghavendra Rao,Tanikella Bharani,Brahmanandam,J.D. Chakravarthi,5.728073635765943,5.529230769230769,4.84,5.841176470588235,4.7
1978,151,Drama,6.7,127,Raj Khosla,Nutan,Asha Parekh,Vijay Anand,5.985004212299915,6.568253968253968,6.454054054054055,6.645901639344262,7.359999999999999
1978,151,Family,6.7,127,Raj Khosla,Nutan,Asha Parekh,Vijay Anand,6.1843800322061195,6.568253968253968,6.454054054054055,6.645901639344262,7.359999999999999
1966,128,Mystery,5.2,8,A. Shamsheer,Feroz Khan,Kumkum,I.S. Johar,5.793820224719101,5.911111111111111,5.8641791044776115,5.608333333333333,6.190625
2019,100,Horror,4.1,47,Chandrakant Singh,Arbaaz Khan,Aindrita Ray,Vikas Verma,4.787854251012146,3.9583333333333335,3.5374999999999996,4.1,4.1
2019,100,Thriller,4.1,47,Chandrakant Singh,Arbaaz Khan,Aindrita Ray,Vikas Verma,5.53436385255648,3.9583333333333335,3.5374999999999996,4.1,4.1
1988,120,Drama,7.8,51,Sudhir Mishra,Suresh Bhagwat,Rajendra Gupta,Ali Haider,5.985004212299915,6.5307692307692315,7.8,7.8,7.8
2005,129,Comedy,7.2,2185,Chandan Arora,Rajpal Yadav,Rituparna Sengupta,Naseeruddin Shah,5.728073635765943,6.7875000000000005,6.0,6.09375,6.435294117647058
2005,129,Drama,7.2,2185,Chandan Arora,Rajpal Yadav,Rituparna Sengupta,Naseeruddin Shah,5.985004212299915,6.7875000000000005,6.0,6.09375,6.435294117647058
2005,129,Romance,7.2,2185,Chandan Arora,Rajpal Yadav,Rituparna Sengupta,Naseeruddin Shah,5.754529717253318,6.7875000000000005,6.0,6.09375,6.435294117647058
2002,154,Action,3.7,1125,Sohail Khan,Sohail Khan,Sameera Reddy,Sanjay Dutt,5.435978600089166,5.006666666666666,4.92,5.488888888888889,5.2326530612244895
2002,154,Romance,3.7,1125,Sohail Khan,Sohail Khan,Sameera Reddy,Sanjay Dutt,5.754529717253318,5.006666666666666,4.92,5.488888888888889,5.2326530612244895
1982,121,Drama,3.3,6,Bhisham Kohli,Mohammad Asif,Rajni Bala,Geeta Behl,5.985004212299915,4.26,3.3,4.2,3.9333333333333336
1982,121,Romance,3.3,6,Bhisham Kohli,Mohammad Asif,Rajni Bala,Geeta Behl,5.754529717253318,4.26,3.3,4.2,3.9333333333333336
2005,145,Comedy,5.5,4840,David Dhawan,Salman Khan,Sushmita Sen,Katrina Kaif,5.728073635765943,5.22803738317757,5.232857142857143,4.9639999999999995,5.218181818181818
2005,145,Drama,5.5,4840,David Dhawan,Salman Khan,Sushmita Sen,Katrina Kaif,5.985004212299915,5.22803738317757,5.232857142857143,4.9639999999999995,5.218181818181818
2005,145,Romance,5.5,4840,David Dhawan,Salman Khan,Sushmita Sen,Katrina Kaif,5.754529717253318,5.22803738317757,5.232857142857143,4.9639999999999995,5.218181818181818
2017,75,Family,2.7,13,Anil,Amit Dahiya Badshah,Ilaria Borrelli,Alma Freddi,6.1843800322061195,3.72,2.7,2.7,2.7
1987,180,Drama,5.1,32,K. Bapaiah,Sadashiv Amrapurkar,Vikas Anand,Asrani,5.985004212299915,5.287878787878788,4.890909090909091,4.8578947368421055,5.780555555555555
2017,178,Biography,5.4,5,Ravindra Singh,Priyanshu Chatterjee,Rashmi Mishra,Neelima Azim,6.763414634146342,5.4,5.623529411764705,5.4,5.325
1989,144,Drama,5.2,40,Rama Rao Tatineni,Jeetendra,Jaya Prada,Sunny Deol,5.985004212299915,5.36081081081081,5.28213058419244,5.4281690140845065,5.452941176470588
